>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
>>> 4483412458502 send format response | ./lib/src/piece/sequence.dart
<<< 4483412458527 send format response | ./lib/src/piece/sequence.dart
<<< 4483412458691 request and wait for format | ./lib/src/piece/sequence.dart
>>> 4483412458702 request and wait for format | ./lib/src/piece/text.dart
>>> 4483412458705 send format request | ./lib/src/piece/text.dart
<<< 4483412458720 send format request | ./lib/src/piece/text.dart
>>> 4483412458722 format | ./lib/src/piece/text.dart
<<< 4483412518328 format | ./lib/src/piece/text.dart
>>> 4483412518333 send format response | ./lib/src/piece/text.dart
<<< 4483412518344 send format response | ./lib/src/piece/text.dart
<<< 4483412518468 request and wait for format | ./lib/src/piece/text.dart
>>> 4483412518477 request and wait for format | ./lib/src/piece/type.dart
>>> 4483412518480 send format request | ./lib/src/piece/type.dart
<<< 4483412518490 send format request | ./lib/src/piece/type.dart
>>> 4483412518492 format | ./lib/src/piece/type.dart
<<< 4483412578004 format | ./lib/src/piece/type.dart
>>> 4483412578016 send format response | ./lib/src/piece/type.dart
<<< 4483412578036 send format response | ./lib/src/piece/type.dart
<<< 4483412578177 request and wait for format | ./lib/src/piece/type.dart
>>> 4483412578190 request and wait for format | ./lib/src/piece/variable.dart
>>> 4483412578193 send format request | ./lib/src/piece/variable.dart
<<< 4483412578207 send format request | ./lib/src/piece/variable.dart
>>> 4483412578210 format | ./lib/src/piece/variable.dart
<<< 4483412637767 format | ./lib/src/piece/variable.dart
>>> 4483412637774 send format response | ./lib/src/piece/variable.dart
<<< 4483412637799 send format response | ./lib/src/piece/variable.dart
<<< 4483412638072 request and wait for format | ./lib/src/piece/variable.dart
>>> 4483412638092 request and wait for format | ./lib/src/profile.dart
>>> 4483412638096 send format request | ./lib/src/profile.dart
<<< 4483412638114 send format request | ./lib/src/profile.dart
>>> 4483412638116 format | ./lib/src/profile.dart
<<< 4483412697834 format | ./lib/src/profile.dart
